type,subtype,ident,value
layer,question,0,teal
layer,answer,1,sienna
layer,module,2,darkred
layer,topic,3,goldenrod
node,question,q_avoid_losing_work,"How can I avoid losing work?"
node,question,q_find_use_others_data,"How can I find and use other people's data?"
node,question,q_find_use_others_software,"How can I find and use other people's software?"
node,question,q_improve_productivity,"How can I be more productive?"
node,question,q_make_collaboration_easy,"How can I make it easy for people to collaborate with me?"
node,question,q_make_data_findable_usable,"How can I make it easy for people to find and use my data?"
node,question,q_make_data_usable_by_programs,"How can I make it easy for programs to use my data?"
node,question,q_make_software_findable_usable,"How can I make it easy for people to find and use my software?"
node,question,q_results_correct,"How can I tell if my results are correct?"
node,answer,a_add_human_work_to_repo,"Put everything created by people into version control."
node,answer,a_atomic_values,"Make every value atomic."
node,answer,a_automate_tasks,"Automate repetitive tasks."
node,answer,a_avoid_duplication,"Avoid duplicating functionality within modules."
node,answer,a_build_and_smoke_tests,"Provide simple re-runnable end-to-end test cases."
node,answer,a_build_tools,"Build tools."
node,answer,a_choose_primary_communication_channel,"Choose a primary communication channel."
node,answer,a_choose_visualization,"Choose an appropriate visualization."
node,answer,a_clean_up_data,"Clean up data."
node,answer,a_code_reviews,"Do code reviews."
node,answer,a_commit_checklist,"Maintain a checklist of things to do before sharing a change."
node,answer,a_consistent_project_organization,"Organize the project consistently."
node,answer,a_data_doi,"Submit data to a reputable DOI issuer."
node,answer,a_debugging,"Debug programs."
node,answer,a_defensive_programming,"Practice defensive programming."
node,answer,a_document_function,"Begin programs with explanatory comments."
node,answer,a_dont_duplicate_code,"Don't duplicate code."
node,answer,a_dont_duplicate_large_data,"Don't duplicate large data."
node,answer,a_explicit_requirements,"Make requirements/dependencies explicit."
node,answer,a_foster_welcoming_environment,"Foster a welcoming environment."
node,answer,a_get_orcid,"Get an ORCID."
node,answer,a_give_code_meaningful_names,"Give values, functions, and classes meaningful names."
node,answer,a_good_commit_comments,"Write good commit comments."
node,answer,a_have_computer_repeat_things,"Have the computer repeat things."
node,answer,a_include_readme,"Include a README file explaining project scope."
node,answer,a_isolate_dependencies,"Isolate project dependencies."
node,answer,a_keys_for_records,"Give every record a unique key."
node,answer,a_master_manuscript_online,"Keep the master copy of every manuscript on the web."
node,answer,a_meaningful_path_names,"Use meaningful path names."
node,answer,a_normalize_data,"Normalize data."
node,answer,a_open_text_formats,"Prefer open text formats to proprietary non-text formats."
node,answer,a_profile_performance,"Find performance bottlenecks."
node,answer,a_project_todo_list,"Maintain a to-do list for each project."
node,answer,a_read_error_messages,"Read error messages."
node,answer,a_record_analysis_steps_textually,"Represent every analysis step textually."
node,answer,a_record_data_provenance,"Record provenance in data."
node,answer,a_record_publishing_steps,"Record publishing steps like analysis steps."
node,answer,a_regular_spreadsheet_layout,"Use regular layout for spreadsheets."
node,answer,a_remove_unused_code,"Remove unused code."
node,answer,a_represent_each_fact_once,"Represent each fact once."
node,answer,a_results_repeatable,"Make results repeatable."
node,answer,a_reuse_libraries,"Re-use libraries rather than writing equivalents."
node,answer,a_run_precommit_checks,"Run tests automatically before each commit."
node,answer,a_search_answer_sites,"Search question-and-answer sites."
node,answer,a_search_repositories,"Search data and software repositories."
node,answer,a_separate_models_from_views,"Separate models from views."
node,answer,a_set_up_development,"Make it easy to set up a development environment."
node,answer,a_software_doi,"Submit software to a reputable DOI issuer."
node,answer,a_sortable_matchable_path_names,"Use path names that are easy to sort and to match."
node,answer,a_specify_citation,"Make the preferred citation for projects explicit."
node,answer,a_specify_license,"Make the project's license explicit."
node,answer,a_store_raw_data,"Store raw data exactly as it arrived."
node,answer,a_store_work_remote_repo,"Store work in a remotely-hosted version control repository."
node,answer,a_treat_metadata_like_data,"Treat metadata like data."
node,answer,a_tune_performance,"Tune performance."
node,answer,a_use_collaborative_commenting,"Use online collaborative commenting."
node,answer,a_use_config_files,"Use configuration files and conditionals rather than commenting."
node,answer,a_use_dictionaries,"Use dictionaries."
node,answer,a_use_functions,"Break programs into short, self-contained functions."
node,answer,a_use_matchable_text,"Use text values that are easy to match with regular expressions."
node,answer,a_use_more_hardware,"Use more hardware."
node,answer,a_use_open_license,"Use an open license."
node,answer,a_use_package_manager,"Use a package manager."
node,answer,a_use_relational_database,"Store data in a relational database."
node,answer,a_write_readable_software,"Write readable software."
node,answer,a_write_unit_tests,"Write unit tests to specify and check behavior."
node,module,m_cloud,"Cloud Computing"
node,module,m_code_review,"Code Review"
node,module,m_collaboration,"Collaboration"
node,module,m_continuous_integration,"Continuous Integration"
node,module,m_data_management,"Data Management"
node,module,m_database,"Relational Databases"
node,module,m_debugging,"Debugging"
node,module,m_git,"Git"
node,module,m_install_config,"Installing and Configuring Software"
node,module,m_make,"Make"
node,module,m_openrefine,"OpenRefine"
node,module,m_performance,"Profiling and Tuning Performance"
node,module,m_programming_style,"Programming Style"
node,module,m_project_organization,"Organizing Projects"
node,module,m_publishing,"21st Century Publishing"
node,module,m_python_1,"Python (Scripting)"
node,module,m_python_2,"Python (Functions)"
node,module,m_python_3,"Python (Data Structures)"
node,module,m_regular_expressions,"Regular Expressions"
node,module,m_search,"Searching"
node,module,m_spreadsheets,"Spreadsheets"
node,module,m_testing,"Testing"
node,module,m_unix,"Unix Shell"
node,module,m_visualization,"Visualization"
node,topic,t_add_to_repository,"Adding Files to a Repository"
node,topic,t_aggregating_data,"Aggregating Data"
node,topic,t_barriers_to_participation,"Barriers to Participation"
node,topic,t_blogging,"Publishing a Blog"
node,topic,t_boilerplate,"Project Boilerplate"
node,topic,t_boolean_operators,"Boolean Operators"
node,topic,t_call_stack,"Understanding The Call Stack"
node,topic,t_choosing_good_path_names,"Choosing Good Path Names"
node,topic,t_choosing_repository_host,"Where to Host a Repository"
node,topic,t_choosing_visualization,"Choosing a Good Visualization"
node,topic,t_code_of_conduct,"Creating a Code of Conduct"
node,topic,t_code_reviews,"Doing Code Reviews"
node,topic,t_commit_checklist,"Creating a Commit Checklist"
node,topic,t_computer_architecture,"Computer Architecture"
node,topic,t_continuous_integration,"Continuous Integration"
node,topic,t_coverage,"Coverage Analysis"
node,topic,t_creating_database,"Creating a Database"
node,topic,t_creating_integrity_tests,"Creating Integrity Tests"
node,topic,t_creating_repository,"Creating a Repository"
node,topic,t_data_design,"Data Design"
node,topic,t_data_hygiene,"Data Hygiene"
node,topic,t_data_types,"Basic Types and Conversion"
node,topic,t_defensive_programming,"Defensive Programming"
node,topic,t_documenting_requirements,"Documenting Software Requirements"
node,topic,t_environment_variables,"Environment Variables"
node,topic,t_filename_extensions,"Filename Extensions"
node,topic,t_filesystem_layout,"How the Filesystem is Laid Out"
node,topic,t_filtering_data,"Filtering Data"
node,topic,t_finding_files,"Finding Files"
node,topic,t_finding_software,"Finding Software"
node,topic,t_formatting_spreadsheets,"Formatting Spreadsheets"
node,topic,t_getting_doi,"Using DOIs"
node,topic,t_good_commit_comments,"Writing Good Commit Comments"
node,topic,t_handling_missing_data,"Handling Missing Data"
node,topic,t_identify_starting_points,"Identify Starting Points"
node,topic,t_ignoring_files,"Ignoring Files"
node,topic,t_installing_software,"Installing Software"
node,topic,t_introducing_openrefine,"Introducing OpenRefine"
node,topic,t_introducing_relational_databases,"Introducing Relational Databases"
node,topic,t_introducing_version_control,"Introducing Version Control"
node,topic,t_issue_tracking,"Issue Tracking"
node,topic,t_joining_data,"Combining Data Using Join"
node,topic,t_logging,"Logging Program Execution"
node,topic,t_managing_files,"Creating, Deleting, and Managing Files"
node,topic,t_merging_changes,"Merging Changes"
node,topic,t_metadata,"Storing Metadata"
node,topic,t_models_vs_views,"Models vs. Views"
node,topic,t_navigating_file_system,"Navigating the File System"
node,topic,t_nobles_rules,"Noble's Rules for Organizing Projects"
node,topic,t_open_license,"Open Licenses"
node,topic,t_pipes_filters,"Pipes and Filters"
node,topic,t_plotting,"Plotting"
node,topic,t_profiling,"Profiling Performance"
node,topic,t_program_configuration,"Configuring Programs"
node,topic,t_programming_databases,"Programming Databases"
node,topic,t_python_conditionals,"Conditional Expressions"
node,topic,t_python_dictionaries,"Python Dictionaries"
node,topic,t_python_functions,"Writing Functions"
node,topic,t_python_lists,"Lists in Python"
node,topic,t_python_loops,"Loops in Python"
node,topic,t_read_csv,"Reading CSV Files"
node,topic,t_reading_error_messages,"Reading Error Messages"
node,topic,t_recording_history,"Recording History"
node,topic,t_reproducibility,"Reproducibility and All That"
node,topic,t_reviewing_version_history,"Reviewing Version History"
node,topic,t_selecting_data,"Selecting Data"
node,topic,t_setting_up_for_development,"Setting Up for Development"
node,topic,t_ssh,"Connecting to Remote Computers with SSH"
node,topic,t_taschuks_rules,"Taschuk's Rules for Project Dependencies"
node,topic,t_task_farming,"Task Farming"
node,topic,t_trace_execution,"Tracing Program Execution"
node,topic,t_tracking_provenance,"Tracking Provenance"
node,topic,t_update_data,"Updating Data"
node,topic,t_update_repository,"Updating a Repository"
node,topic,t_use_package_manager,"Using a Package Manager"
node,topic,t_using_branches,"Using Branches"
node,topic,t_using_editor,"Using a Plain Text Editor"
node,topic,t_using_hypothesis,"Using Hypothes.is"
node,topic,t_using_libraries,"Using Libraries"
node,topic,t_using_make,"Using Make"
node,topic,t_using_numpy,"Using NumPy"
node,topic,t_using_orcid,"Using ORCIDs"
node,topic,t_using_pandas,"Using Pandas"
node,topic,t_using_regular_expressions,"Using Regular Expressions"
node,topic,t_using_web_authoring,"Using Web-based Authoring Tools"
node,topic,t_variable_scope,"Variable Scope"
node,topic,t_variables_assignment,"Variables and Assignment"
node,topic,t_what_not_to_store,"What Not to Put in Version Control"
node,topic,t_writing_programs,"Writing Command-Line Programs"
node,topic,t_writing_shell_loops,"Writing Loops in the Shell"
node,topic,t_writing_shell_scripts,"Writing Shell Scripts"
node,topic,t_writing_unit_tests,"Writing Unit Tests"
edge,question-answer,q_avoid_losing_work,a_add_human_work_to_repo
edge,question-answer,q_avoid_losing_work,a_good_commit_comments
edge,question-answer,q_avoid_losing_work,a_open_text_formats
edge,question-answer,q_avoid_losing_work,a_store_work_remote_repo
edge,question-answer,q_find_use_others_data,a_reuse_libraries
edge,question-answer,q_find_use_others_data,a_search_repositories
edge,question-answer,q_find_use_others_software,a_code_reviews
edge,question-answer,q_find_use_others_software,a_reuse_libraries
edge,question-answer,q_find_use_others_software,a_search_answer_sites
edge,question-answer,q_find_use_others_software,a_use_package_manager
edge,question-answer,q_improve_productivity,a_automate_tasks
edge,question-answer,q_improve_productivity,a_build_tools
edge,question-answer,q_improve_productivity,a_have_computer_repeat_things
edge,question-answer,q_improve_productivity,a_profile_performance
edge,question-answer,q_improve_productivity,a_read_error_messages
edge,question-answer,q_improve_productivity,a_results_repeatable
edge,question-answer,q_improve_productivity,a_tune_performance
edge,question-answer,q_improve_productivity,a_use_more_hardware
edge,question-answer,q_make_collaboration_easy,a_build_and_smoke_tests
edge,question-answer,q_make_collaboration_easy,a_choose_primary_communication_channel
edge,question-answer,q_make_collaboration_easy,a_commit_checklist
edge,question-answer,q_make_collaboration_easy,a_consistent_project_organization
edge,question-answer,q_make_collaboration_easy,a_defensive_programming
edge,question-answer,q_make_collaboration_easy,a_foster_welcoming_environment
edge,question-answer,q_make_collaboration_easy,a_get_orcid
edge,question-answer,q_make_collaboration_easy,a_master_manuscript_online
edge,question-answer,q_make_collaboration_easy,a_project_todo_list
edge,question-answer,q_make_collaboration_easy,a_record_publishing_steps
edge,question-answer,q_make_collaboration_easy,a_results_repeatable
edge,question-answer,q_make_collaboration_easy,a_set_up_development
edge,question-answer,q_make_collaboration_easy,a_specify_citation
edge,question-answer,q_make_collaboration_easy,a_specify_license
edge,question-answer,q_make_collaboration_easy,a_use_collaborative_commenting
edge,question-answer,q_make_data_findable_usable,a_clean_up_data
edge,question-answer,q_make_data_findable_usable,a_data_doi
edge,question-answer,q_make_data_findable_usable,a_dont_duplicate_large_data
edge,question-answer,q_make_data_findable_usable,a_meaningful_path_names
edge,question-answer,q_make_data_findable_usable,a_normalize_data
edge,question-answer,q_make_data_findable_usable,a_regular_spreadsheet_layout
edge,question-answer,q_make_data_findable_usable,a_represent_each_fact_once
edge,question-answer,q_make_data_findable_usable,a_separate_models_from_views
edge,question-answer,q_make_data_findable_usable,a_store_raw_data
edge,question-answer,q_make_data_findable_usable,a_treat_metadata_like_data
edge,question-answer,q_make_data_findable_usable,a_use_open_license
edge,question-answer,q_make_data_findable_usable,a_use_relational_database
edge,question-answer,q_make_data_usable_by_programs,a_atomic_values
edge,question-answer,q_make_data_usable_by_programs,a_avoid_duplication
edge,question-answer,q_make_data_usable_by_programs,a_keys_for_records
edge,question-answer,q_make_data_usable_by_programs,a_sortable_matchable_path_names
edge,question-answer,q_make_data_usable_by_programs,a_treat_metadata_like_data
edge,question-answer,q_make_data_usable_by_programs,a_use_matchable_text
edge,question-answer,q_make_software_findable_usable,a_document_function
edge,question-answer,q_make_software_findable_usable,a_dont_duplicate_code
edge,question-answer,q_make_software_findable_usable,a_explicit_requirements
edge,question-answer,q_make_software_findable_usable,a_give_code_meaningful_names
edge,question-answer,q_make_software_findable_usable,a_include_readme
edge,question-answer,q_make_software_findable_usable,a_isolate_dependencies
edge,question-answer,q_make_software_findable_usable,a_remove_unused_code
edge,question-answer,q_make_software_findable_usable,a_reuse_libraries
edge,question-answer,q_make_software_findable_usable,a_software_doi
edge,question-answer,q_make_software_findable_usable,a_store_work_remote_repo
edge,question-answer,q_make_software_findable_usable,a_use_config_files
edge,question-answer,q_make_software_findable_usable,a_use_dictionaries
edge,question-answer,q_make_software_findable_usable,a_use_functions
edge,question-answer,q_make_software_findable_usable,a_use_open_license
edge,question-answer,q_results_correct,a_build_and_smoke_tests
edge,question-answer,q_results_correct,a_choose_visualization
edge,question-answer,q_results_correct,a_code_reviews
edge,question-answer,q_results_correct,a_consistent_project_organization
edge,question-answer,q_results_correct,a_debugging
edge,question-answer,q_results_correct,a_defensive_programming
edge,question-answer,q_results_correct,a_record_analysis_steps_textually
edge,question-answer,q_results_correct,a_record_data_provenance
edge,question-answer,q_results_correct,a_run_precommit_checks
edge,question-answer,q_results_correct,a_write_readable_software
edge,question-answer,q_results_correct,a_write_unit_tests
edge,answer-module,a_add_human_work_to_repo,m_git
edge,answer-module,a_atomic_values,m_data_management
edge,answer-module,a_automate_tasks,m_unix
edge,answer-module,a_avoid_duplication,m_programming_style
edge,answer-module,a_build_and_smoke_tests,m_install_config
edge,answer-module,a_build_and_smoke_tests,m_testing
edge,answer-module,a_build_tools,m_python_1
edge,answer-module,a_build_tools,m_unix
edge,answer-module,a_choose_primary_communication_channel,m_collaboration
edge,answer-module,a_choose_visualization,m_visualization
edge,answer-module,a_clean_up_data,m_data_management
edge,answer-module,a_clean_up_data,m_openrefine
edge,answer-module,a_code_reviews,m_code_review
edge,answer-module,a_commit_checklist,m_collaboration
edge,answer-module,a_commit_checklist,m_project_organization
edge,answer-module,a_consistent_project_organization,m_project_organization
edge,answer-module,a_data_doi,m_collaboration
edge,answer-module,a_data_doi,m_data_management
edge,answer-module,a_debugging,m_debugging
edge,answer-module,a_defensive_programming,m_programming_style
edge,answer-module,a_document_function,m_programming_style
edge,answer-module,a_dont_duplicate_code,m_programming_style
edge,answer-module,a_dont_duplicate_large_data,m_data_management
edge,answer-module,a_explicit_requirements,m_project_organization
edge,answer-module,a_foster_welcoming_environment,m_collaboration
edge,answer-module,a_get_orcid,m_collaboration
edge,answer-module,a_get_orcid,m_publishing
edge,answer-module,a_give_code_meaningful_names,m_programming_style
edge,answer-module,a_good_commit_comments,m_git
edge,answer-module,a_have_computer_repeat_things,m_python_1
edge,answer-module,a_have_computer_repeat_things,m_unix
edge,answer-module,a_include_readme,m_project_organization
edge,answer-module,a_isolate_dependencies,m_programming_style
edge,answer-module,a_keys_for_records,m_data_management
edge,answer-module,a_master_manuscript_online,m_collaboration
edge,answer-module,a_master_manuscript_online,m_publishing
edge,answer-module,a_meaningful_path_names,m_data_management
edge,answer-module,a_meaningful_path_names,m_project_organization
edge,answer-module,a_normalize_data,m_data_management
edge,answer-module,a_open_text_formats,m_collaboration
edge,answer-module,a_open_text_formats,m_data_management
edge,answer-module,a_profile_performance,m_performance
edge,answer-module,a_project_todo_list,m_collaboration
edge,answer-module,a_project_todo_list,m_project_organization
edge,answer-module,a_read_error_messages,m_python_1
edge,answer-module,a_read_error_messages,m_search
edge,answer-module,a_record_analysis_steps_textually,m_make
edge,answer-module,a_record_analysis_steps_textually,m_unix
edge,answer-module,a_record_data_provenance,m_data_management
edge,answer-module,a_record_publishing_steps,m_make
edge,answer-module,a_record_publishing_steps,m_publishing
edge,answer-module,a_record_publishing_steps,m_unix
edge,answer-module,a_regular_spreadsheet_layout,m_data_management
edge,answer-module,a_regular_spreadsheet_layout,m_spreadsheets
edge,answer-module,a_remove_unused_code,m_programming_style
edge,answer-module,a_represent_each_fact_once,m_data_management
edge,answer-module,a_represent_each_fact_once,m_programming_style
edge,answer-module,a_results_repeatable,m_collaboration
edge,answer-module,a_results_repeatable,m_make
edge,answer-module,a_results_repeatable,m_unix
edge,answer-module,a_reuse_libraries,m_python_1
edge,answer-module,a_run_precommit_checks,m_continuous_integration
edge,answer-module,a_search_answer_sites,m_search
edge,answer-module,a_search_repositories,m_search
edge,answer-module,a_separate_models_from_views,m_data_management
edge,answer-module,a_set_up_development,m_project_organization
edge,answer-module,a_software_doi,m_collaboration
edge,answer-module,a_software_doi,m_publishing
edge,answer-module,a_sortable_matchable_path_names,m_data_management
edge,answer-module,a_sortable_matchable_path_names,m_project_organization
edge,answer-module,a_sortable_matchable_path_names,m_unix
edge,answer-module,a_specify_citation,m_project_organization
edge,answer-module,a_specify_citation,m_publishing
edge,answer-module,a_specify_license,m_collaboration
edge,answer-module,a_specify_license,m_project_organization
edge,answer-module,a_store_raw_data,m_data_management
edge,answer-module,a_store_work_remote_repo,m_collaboration
edge,answer-module,a_store_work_remote_repo,m_git
edge,answer-module,a_store_work_remote_repo,m_project_organization
edge,answer-module,a_treat_metadata_like_data,m_data_management
edge,answer-module,a_tune_performance,m_performance
edge,answer-module,a_use_collaborative_commenting,m_collaboration
edge,answer-module,a_use_config_files,m_install_config
edge,answer-module,a_use_config_files,m_programming_style
edge,answer-module,a_use_dictionaries,m_python_3
edge,answer-module,a_use_functions,m_python_2
edge,answer-module,a_use_matchable_text,m_data_management
edge,answer-module,a_use_matchable_text,m_regular_expressions
edge,answer-module,a_use_more_hardware,m_cloud
edge,answer-module,a_use_open_license,m_collaboration
edge,answer-module,a_use_open_license,m_project_organization
edge,answer-module,a_use_package_manager,m_install_config
edge,answer-module,a_use_relational_database,m_database
edge,answer-module,a_write_readable_software,m_code_review
edge,answer-module,a_write_readable_software,m_programming_style
edge,answer-module,a_write_unit_tests,m_testing
edge,module-topic,m_cloud,t_ssh
edge,module-topic,m_cloud,t_task_farming
edge,module-topic,m_code_review,t_code_reviews
edge,module-topic,m_collaboration,t_barriers_to_participation
edge,module-topic,m_collaboration,t_code_of_conduct
edge,module-topic,m_collaboration,t_identify_starting_points
edge,module-topic,m_continuous_integration,t_commit_checklist
edge,module-topic,m_continuous_integration,t_continuous_integration
edge,module-topic,m_data_management,t_data_design
edge,module-topic,m_data_management,t_data_hygiene
edge,module-topic,m_data_management,t_metadata
edge,module-topic,m_data_management,t_models_vs_views
edge,module-topic,m_data_management,t_tracking_provenance
edge,module-topic,m_database,t_aggregating_data
edge,module-topic,m_database,t_boolean_operators
edge,module-topic,m_database,t_filtering_data
edge,module-topic,m_database,t_handling_missing_data
edge,module-topic,m_database,t_introducing_relational_databases
edge,module-topic,m_database,t_joining_data
edge,module-topic,m_database,t_programming_databases
edge,module-topic,m_database,t_selecting_data
edge,module-topic,m_database,t_update_data
edge,module-topic,m_debugging,t_logging
edge,module-topic,m_debugging,t_trace_execution
edge,module-topic,m_git,t_add_to_repository
edge,module-topic,m_git,t_choosing_repository_host
edge,module-topic,m_git,t_creating_repository
edge,module-topic,m_git,t_good_commit_comments
edge,module-topic,m_git,t_ignoring_files
edge,module-topic,m_git,t_introducing_version_control
edge,module-topic,m_git,t_merging_changes
edge,module-topic,m_git,t_reviewing_version_history
edge,module-topic,m_git,t_update_repository
edge,module-topic,m_git,t_using_branches
edge,module-topic,m_git,t_what_not_to_store
edge,module-topic,m_install_config,t_environment_variables
edge,module-topic,m_install_config,t_filesystem_layout
edge,module-topic,m_install_config,t_installing_software
edge,module-topic,m_install_config,t_program_configuration
edge,module-topic,m_install_config,t_use_package_manager
edge,module-topic,m_make,t_reproducibility
edge,module-topic,m_make,t_using_make
edge,module-topic,m_openrefine,t_data_hygiene
edge,module-topic,m_openrefine,t_introducing_openrefine
edge,module-topic,m_performance,t_computer_architecture
edge,module-topic,m_performance,t_profiling
edge,module-topic,m_programming_style,t_defensive_programming
edge,module-topic,m_programming_style,t_python_functions
edge,module-topic,m_project_organization,t_boilerplate
edge,module-topic,m_project_organization,t_choosing_good_path_names
edge,module-topic,m_project_organization,t_documenting_requirements
edge,module-topic,m_project_organization,t_issue_tracking
edge,module-topic,m_project_organization,t_nobles_rules
edge,module-topic,m_project_organization,t_setting_up_for_development
edge,module-topic,m_project_organization,t_taschuks_rules
edge,module-topic,m_publishing,t_blogging
edge,module-topic,m_publishing,t_getting_doi
edge,module-topic,m_publishing,t_open_license
edge,module-topic,m_publishing,t_using_hypothesis
edge,module-topic,m_publishing,t_using_orcid
edge,module-topic,m_publishing,t_using_web_authoring
edge,module-topic,m_python_1,t_data_types
edge,module-topic,m_python_1,t_read_csv
edge,module-topic,m_python_1,t_reading_error_messages
edge,module-topic,m_python_1,t_using_libraries
edge,module-topic,m_python_1,t_using_pandas
edge,module-topic,m_python_1,t_variables_assignment
edge,module-topic,m_python_2,t_call_stack
edge,module-topic,m_python_2,t_python_conditionals
edge,module-topic,m_python_2,t_python_functions
edge,module-topic,m_python_2,t_python_lists
edge,module-topic,m_python_2,t_python_loops
edge,module-topic,m_python_2,t_variable_scope
edge,module-topic,m_python_2,t_writing_programs
edge,module-topic,m_python_3,t_python_dictionaries
edge,module-topic,m_python_3,t_using_numpy
edge,module-topic,m_regular_expressions,t_using_regular_expressions
edge,module-topic,m_search,t_boolean_operators
edge,module-topic,m_search,t_filtering_data
edge,module-topic,m_search,t_finding_software
edge,module-topic,m_search,t_using_regular_expressions
edge,module-topic,m_spreadsheets,t_formatting_spreadsheets
edge,module-topic,m_testing,t_coverage
edge,module-topic,m_testing,t_creating_integrity_tests
edge,module-topic,m_testing,t_writing_unit_tests
edge,module-topic,m_unix,t_filename_extensions
edge,module-topic,m_unix,t_filesystem_layout
edge,module-topic,m_unix,t_finding_files
edge,module-topic,m_unix,t_managing_files
edge,module-topic,m_unix,t_navigating_file_system
edge,module-topic,m_unix,t_pipes_filters
edge,module-topic,m_unix,t_recording_history
edge,module-topic,m_unix,t_using_editor
edge,module-topic,m_unix,t_writing_shell_loops
edge,module-topic,m_unix,t_writing_shell_scripts
edge,module-topic,m_visualization,t_choosing_visualization
edge,module-topic,m_visualization,t_plotting
edge,topic-topic,t_add_to_repository,t_creating_repository
edge,topic-topic,t_aggregating_data,t_handling_missing_data
edge,topic-topic,t_blogging,t_using_web_authoring
edge,topic-topic,t_boilerplate,t_using_orcid
edge,topic-topic,t_call_stack,t_variable_scope
edge,topic-topic,t_choosing_good_path_names,t_filename_extensions
edge,topic-topic,t_choosing_good_path_names,t_finding_files
edge,topic-topic,t_choosing_repository_host,t_introducing_version_control
edge,topic-topic,t_choosing_visualization,t_plotting
edge,topic-topic,t_code_of_conduct,t_barriers_to_participation
edge,topic-topic,t_code_reviews,t_merging_changes
edge,topic-topic,t_code_reviews,t_reviewing_version_history
edge,topic-topic,t_code_reviews,t_using_branches
edge,topic-topic,t_computer_architecture,t_data_types
edge,topic-topic,t_continuous_integration,t_commit_checklist
edge,topic-topic,t_creating_database,t_joining_data
edge,topic-topic,t_creating_repository,t_introducing_version_control
edge,topic-topic,t_data_design,t_joining_data
edge,topic-topic,t_data_hygiene,t_data_design
edge,topic-topic,t_data_types,t_variables_assignment
edge,topic-topic,t_filtering_data,t_introducing_relational_databases
edge,topic-topic,t_finding_files,t_filesystem_layout
edge,topic-topic,t_good_commit_comments,t_add_to_repository
edge,topic-topic,t_handling_missing_data,t_selecting_data
edge,topic-topic,t_identify_starting_points,t_issue_tracking
edge,topic-topic,t_ignoring_files,t_add_to_repository
edge,topic-topic,t_installing_software,t_environment_variables
edge,topic-topic,t_introducing_openrefine,t_formatting_spreadsheets
edge,topic-topic,t_introducing_openrefine,t_using_regular_expressions
edge,topic-topic,t_joining_data,t_handling_missing_data
edge,topic-topic,t_managing_files,t_using_editor
edge,topic-topic,t_open_license,t_boilerplate
edge,topic-topic,t_plotting,t_using_libraries
edge,topic-topic,t_plotting,t_using_pandas
edge,topic-topic,t_profiling,t_computer_architecture
edge,topic-topic,t_program_configuration,t_boolean_operators
edge,topic-topic,t_program_configuration,t_environment_variables
edge,topic-topic,t_program_configuration,t_ignoring_files
edge,topic-topic,t_programming_databases,t_selecting_data
edge,topic-topic,t_python_conditionals,t_boolean_operators
edge,topic-topic,t_python_functions,t_python_conditionals
edge,topic-topic,t_python_functions,t_variable_scope
edge,topic-topic,t_python_loops,t_python_lists
edge,topic-topic,t_read_csv,t_using_pandas
edge,topic-topic,t_reproducibility,t_documenting_requirements
edge,topic-topic,t_reproducibility,t_metadata
edge,topic-topic,t_reproducibility,t_program_configuration
edge,topic-topic,t_reproducibility,t_tracking_provenance
edge,topic-topic,t_selecting_data,t_introducing_relational_databases
edge,topic-topic,t_taschuks_rules,t_environment_variables
edge,topic-topic,t_taschuks_rules,t_program_configuration
edge,topic-topic,t_task_farming,t_computer_architecture
edge,topic-topic,t_task_farming,t_writing_shell_loops
edge,topic-topic,t_trace_execution,t_call_stack
edge,topic-topic,t_trace_execution,t_logging
edge,topic-topic,t_trace_execution,t_variables_assignment
edge,topic-topic,t_tracking_provenance,t_recording_history
edge,topic-topic,t_update_data,t_selecting_data
edge,topic-topic,t_update_repository,t_add_to_repository
edge,topic-topic,t_use_package_manager,t_filesystem_layout
edge,topic-topic,t_use_package_manager,t_installing_software
edge,topic-topic,t_using_libraries,t_variables_assignment
edge,topic-topic,t_using_make,t_writing_shell_scripts
edge,topic-topic,t_using_numpy,t_data_types
edge,topic-topic,t_using_numpy,t_using_libraries
edge,topic-topic,t_using_pandas,t_data_types
edge,topic-topic,t_using_pandas,t_using_libraries
edge,topic-topic,t_variable_scope,t_variables_assignment
edge,topic-topic,t_writing_programs,t_python_functions
edge,topic-topic,t_writing_programs,t_using_libraries
edge,topic-topic,t_writing_programs,t_using_numpy
edge,topic-topic,t_writing_programs,t_using_pandas
edge,topic-topic,t_writing_shell_scripts,t_managing_files
edge,topic-topic,t_writing_shell_scripts,t_navigating_file_system
edge,topic-topic,t_writing_shell_scripts,t_pipes_filters
edge,topic-topic,t_writing_shell_scripts,t_using_editor
edge,topic-topic,t_writing_unit_tests,t_defensive_programming
edge,topic-topic,t_writing_unit_tests,t_python_functions
